property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
house,independent,sector 2,19.5,27083.0,8.0,9.0,3+,2.0,New Property,7200.0,1.0,1.0,0.0,1.0,0.0,0.0,122.0
flat,ss the leaf,sector 85,1.05,6402.0,2.0,2.0,3,6.0,Relatively New,1449.4813078733196,0.0,0.0,0.0,0.0,1.0,0.0,49.0
flat,tulip violet,sector 69,1.7,8625.0,4.0,4.0,1,12.0,Relatively New,1745.5294192916413,0.0,0.0,0.0,0.0,0.0,0.0,88.0
flat,dhoot time residency,sector 63,3.0,18270.0,3.0,3.0,3+,14.0,Relatively New,1642.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
flat,raheja vedaanta,sector 108,0.8,4080.0,3.0,3.0,3,9.0,Relatively New,1627.1101747243126,0.0,0.0,0.0,1.0,0.0,0.0,174.0
flat,m3m golfestate,sector 65,4.94,16234.0,3.0,4.0,3,15.0,Moderately Old,2708.1343391457594,0.0,1.0,0.0,0.0,0.0,0.0,165.0
house,international city by sobha phase 2,sector 109,9.4,26111.0,5.0,6.0,3+,2.0,Relatively New,3600.0,1.0,1.0,1.0,1.0,0.0,1.0,147.0
flat,shree vardhman victoria,sector 70,1.63,8359.0,3.0,3.0,3,5.0,New Property,1537.39,0.0,1.0,0.0,0.0,1.0,0.0,49.0
flat,laxmi apartment sector 99a gurgaon,sector 99,0.3,4615.0,2.0,2.0,1,4.0,New Property,646.93,0.0,0.0,0.0,0.0,0.0,0.0,44.0
flat,sare crescent parc,sector 92,0.51,4080.0,3.0,2.0,2,2.0,Relatively New,1099.6062671062123,0.0,0.0,0.0,0.0,0.0,0.0,72.0
flat,shapoorji pallonji joyville gurugram,sector 102,1.28,10535.0,2.0,2.0,3,10.0,Relatively New,1068.207224986087,0.0,0.0,0.0,0.0,0.0,0.0,49.0
flat,signature global park,sohna road,0.54,7200.0,2.0,2.0,2,4.0,Under Construction,933.7250656180255,0.0,0.0,0.0,0.0,0.0,0.0,111.0
flat,ramprastha the atrium,sector 37d,1.0,7782.0,3.0,3.0,2,4.0,Relatively New,1131.0053092263372,0.0,0.0,0.0,0.0,0.0,0.0,13.0
flat,umang monsoon breeze,sector 78,0.9,4615.0,3.0,3.0,2,1.0,Moderately Old,1900.0,0.0,1.0,0.0,1.0,0.0,0.0,65.0
flat,sare crescent parc,sector 92,1.0,4778.0,4.0,4.0,3,9.0,Relatively New,2093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,green court,sector 90,0.45,7188.0,2.0,2.0,1,2.0,New Property,808.9808400585891,0.0,0.0,0.0,0.0,0.0,1.0,42.0
flat,bestech park view sanskruti,sector 92,1.83,7871.0,4.0,3.0,3,8.0,New Property,2064.0054179386234,0.0,1.0,0.0,0.0,0.0,0.0,128.0
house,vatika india next,sector 82,6.8,20988.0,4.0,4.0,3+,3.0,Relatively New,3240.0,0.0,1.0,0.0,0.0,0.0,2.0,110.0
flat,m3m merlin,sector 67,3.4,14419.0,3.0,4.0,3,16.0,Relatively New,2358.0,0.0,1.0,0.0,0.0,0.0,1.0,174.0
flat,emaar gurgaon greens,sector 102,1.4,8485.0,3.0,3.0,3,3.0,Relatively New,1333.2,0.0,1.0,0.0,0.0,0.0,0.0,60.0
flat,bptp pedestal,sector 70a,1.6,10159.0,3.0,3.0,3,2.0,New Property,1763.6765663158883,0.0,1.0,0.0,0.0,1.0,0.0,77.0
flat,m3m woodshire,sector 107,0.8,5857.0,2.0,2.0,3+,14.0,New Property,1203.671663847198,0.0,0.0,0.0,0.0,0.0,0.0,67.0
flat,vatika the seven lamps,sector 82,1.28,6819.0,3.0,3.0,3,3.0,Relatively New,1800.0,1.0,0.0,0.0,0.0,0.0,1.0,165.0
flat,orris carnation residency,sector 85,0.8,4857.0,3.0,4.0,3,4.0,Relatively New,1390.0,0.0,1.0,0.0,0.0,0.0,1.0,40.0
flat,tulip violet,sector 69,1.4,8861.0,3.0,3.0,2,2.0,Relatively New,1393.860147546241,0.0,0.0,0.0,1.0,0.0,0.0,102.0
flat,m3m woodshire,sector 107,1.39,5887.0,3.0,4.0,3+,6.0,Relatively New,2033.1,0.0,1.0,0.0,1.0,0.0,1.0,174.0
flat,tarc maceo,sector 91,1.8,7759.0,4.0,3.0,3+,0.0,Relatively New,2513.1479214915344,1.0,0.0,0.0,1.0,0.0,2.0,45.0
flat,pgr shree kripaluji apartment,sector 52,1.4,6087.0,3.0,3.0,3+,8.0,Relatively New,2493.0278851109797,0.0,0.0,0.0,0.0,0.0,1.0,80.0
flat,dlf regency park,sector 28,2.35,13225.0,3.0,4.0,3,8.0,Old Property,1700.0,0.0,1.0,0.0,0.0,0.0,1.0,109.0
flat,dlf new town heights,sector 86,1.25,6477.0,3.0,4.0,3+,2.0,Relatively New,1709.644799725784,0.0,1.0,0.0,1.0,0.0,0.0,65.0
flat,capital residences 360,sector 70a,1.55,7844.0,3.0,3.0,3,8.0,Relatively New,1600.0,1.0,1.0,0.0,1.0,1.0,0.0,42.0
flat,siddhartha apartment,sector 95,0.72,3664.0,3.0,3.0,2,4.0,Relatively New,1800.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0
house,independent,sector 8,0.62,11273.0,3.0,1.0,0,2.0,Moderately Old,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,signature global solera,sector 107,0.36,6581.0,2.0,2.0,2,8.0,Relatively New,729.5066963553999,0.0,0.0,0.0,0.0,0.0,0.0,45.0
flat,imperia the esfera,sector 37,0.98,5399.0,3.0,4.0,3,9.0,Relatively New,1652.38,0.0,1.0,0.0,0.0,1.0,0.0,49.0
flat,signature global orchard avenue,sector 93,0.38,6387.0,2.0,2.0,2,7.0,Relatively New,777.7150610425775,0.0,0.0,0.0,0.0,0.0,0.0,16.0
flat,ats triumph,sector 104,2.3,10000.0,3.0,4.0,3+,15.0,New Property,2482.9678669207024,0.0,1.0,0.0,0.0,0.0,0.0,117.0
flat,signature global orchard avenue,sector 93,0.36,6716.0,2.0,2.0,2,6.0,Relatively New,726.063101828777,0.0,0.0,0.0,0.0,0.0,0.0,16.0
house,independent,sector 9,0.22,7407.0,2.0,2.0,2,1.0,Old Property,212.4217613751556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
house,independent,sector 4,3.25,14444.0,3.0,3.0,2,2.0,Old Property,2250.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
flat,adani brahma samsara vilasa,sector 63,3.4,10000.0,3.0,3.0,3+,1.0,New Property,3028.404568771035,0.0,0.0,0.0,0.0,0.0,0.0,99.0
flat,la vida by tata housing,sector 113,1.75,10492.0,2.0,2.0,3,10.0,Relatively New,1389.374570100509,1.0,0.0,0.0,0.0,0.0,0.0,93.0
house,independent,sector 31,3.5,24155.0,4.0,4.0,3,2.0,Old Property,1449.0,0.0,0.0,1.0,0.0,0.0,1.0,70.0
flat,tulip violet,sector 69,1.46,9252.0,3.0,3.0,2,0.0,Relatively New,1393.860147546241,0.0,0.0,0.0,1.0,0.0,1.0,174.0
flat,zara aavaas,sector 104,0.26,7808.0,1.0,1.0,2,0.0,Relatively New,301.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0
flat,ireo skyon,sector 60,2.65,13125.0,3.0,4.0,3+,7.0,Moderately Old,2037.0,0.0,1.0,0.0,0.0,0.0,1.0,152.0
flat,shapoorji pallonji joyville,sector 102,1.1,12022.0,2.0,2.0,1,7.0,Relatively New,915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,whiteland blissville,sector 76,1.92,11497.0,3.0,3.0,2,2.0,Under Construction,1672.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0
flat,central park flower valley,sohna road,1.65,17442.0,3.0,3.0,0,1.0,Relatively New,1130.9014221474572,0.0,0.0,0.0,0.0,0.0,0.0,66.0
flat,eldeco accolade,sohna road,0.71,4907.0,2.0,2.0,3+,10.0,Relatively New,1159.31,1.0,0.0,0.0,0.0,0.0,0.0,49.0
house,independent,sector 3,0.9,8929.0,3.0,1.0,0,1.0,Moderately Old,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,conscient elevate,sector 59,6.75,19882.0,4.0,4.0,2,10.0,New Property,2534.64,0.0,1.0,0.0,0.0,0.0,0.0,31.0
flat,ss the coralwood,sector 84,1.01,5771.0,3.0,3.0,2,18.0,Relatively New,1475.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
flat,ss the leaf,sector 85,1.1,6318.0,2.0,2.0,3+,3.0,Relatively New,1472.31,0.0,0.0,1.0,0.0,0.0,0.0,143.0
flat,mvn athens,sohna road,0.25,5187.0,2.0,2.0,1,3.0,Relatively New,663.7992096947407,0.0,0.0,0.0,0.0,0.0,0.0,51.0
house,nirvana country,sector 50,10.0,14286.0,5.0,7.0,2,4.0,Moderately Old,7000.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
house,independent,sector 13,0.62,3588.0,6.0,6.0,0,3.0,Old Property,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,kamal residence,sohna road,0.4,7634.0,2.0,2.0,1,0.0,New Property,706.3686545177625,0.0,0.0,0.0,0.0,1.0,1.0,16.0
house,independent,sector 4,0.47,3518.0,3.0,4.0,0,3.0,Moderately Old,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,sare green parc phase 3,sector 92,1.08,5150.0,4.0,4.0,2,16.0,New Property,1853.1832779892127,0.0,1.0,0.0,0.0,0.0,0.0,107.0
flat,ats triumph,sector 104,2.6,8254.0,4.0,4.0,3+,12.0,Relatively New,2804.1256964844274,0.0,1.0,0.0,0.0,0.0,0.0,118.0
flat,dlf the belaire,sector 54,10.0,24558.0,4.0,5.0,3+,17.0,Moderately Old,3000.0,0.0,1.0,0.0,0.0,0.0,2.0,167.0
flat,tulip leaf,sector 69,2.07,11424.0,3.0,3.0,3,16.0,Relatively New,1603.7851720065055,0.0,0.0,0.0,0.0,0.0,0.0,49.0
flat,ramprastha city,dwarka expressway,1.3,9028.0,3.0,3.0,2,3.0,Under Construction,1270.0582100440338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,smart world orchard,sector 61,2.6,14723.0,3.0,3.0,2,2.0,New Property,1766.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
house,independent,sector 43,2.15,13030.0,1.0,1.0,0,1.0,Moderately Old,1650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,smart world orchard,sector 61,1.55,13478.0,2.0,2.0,1,3.0,Under Construction,1009.8947181915694,1.0,0.0,0.0,0.0,0.0,0.0,43.0
flat,godrej nature plus,sector 33,1.35,8671.0,3.0,2.0,3+,17.0,New Property,1375.020722274166,0.0,0.0,0.0,0.0,0.0,0.0,38.0
flat,godrej nature plus,sector 33,1.35,8232.0,3.0,2.0,3+,7.0,Under Construction,1449.4813078733196,0.0,0.0,0.0,1.0,0.0,0.0,49.0
flat,shapoorji pallonji joyville gurugram,sector 102,1.8,10638.0,3.0,3.0,3,5.0,Relatively New,1496.1313133089338,0.0,0.0,0.0,0.0,0.0,0.0,49.0
flat,emaar gurgaon greens,sector 102,1.3,7879.0,3.0,3.0,3,7.0,Relatively New,1399.8,0.0,1.0,0.0,0.0,0.0,0.0,93.0
flat,bestech altura,sector 79,1.72,8000.0,3.0,4.0,3+,5.0,Relatively New,1697.02,0.0,1.0,0.0,0.0,0.0,1.0,174.0
flat,signature global solera,sector 107,0.27,5521.0,2.0,2.0,2,0.0,Relatively New,671.1585908517925,0.0,0.0,0.0,0.0,0.0,0.0,45.0
flat,dlf park place,sector 54,6.75,24963.0,4.0,4.0,2,8.0,Moderately Old,2063.22,0.0,1.0,0.0,0.0,0.0,2.0,135.0
flat,indiabulls centrum park,sector 103,1.34,7486.0,3.0,3.0,3+,13.0,Relatively New,1560.69,1.0,0.0,0.0,0.0,0.0,0.0,93.0
flat,supertech new soft launch,sector 68,0.84,7119.0,2.0,2.0,2,7.0,New Property,1180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,emaar mgf the palm drive,sector 66,3.0,15385.0,3.0,3.0,2,12.0,Relatively New,1950.0,0.0,1.0,0.0,0.0,0.0,0.0,96.0
house,ansal sushant lok plots,sector 43,7.0,25926.0,5.0,5.0,3+,3.0,Relatively New,2700.0,1.0,1.0,0.0,1.0,0.0,1.0,41.0
flat,orchid petals,sector 49,4.79,11629.0,5.0,5.0,3+,14.0,Relatively New,3669.8421435107316,1.0,1.0,0.0,1.0,0.0,0.0,49.0
house,ansal api esencia,sector 67,5.46,24170.0,4.0,5.0,3+,2.0,Relatively New,2259.0,1.0,0.0,1.0,1.0,0.0,1.0,103.0
flat,godrej nature plus,sector 33,1.45,15659.0,3.0,2.0,3+,20.0,Under Construction,118.0,1.0,0.0,0.0,0.0,0.0,0.0,144.0
flat,smart world gems,sector 89,0.85,7706.0,2.0,2.0,2,2.0,Under Construction,1288.843707734808,1.0,0.0,0.0,0.0,0.0,0.0,45.0
flat,adani brahma samsara vilasa,sector 63,4.49,14254.0,4.0,4.0,3+,3.0,New Property,3150.0,0.0,0.0,0.0,0.0,0.0,1.0,96.0
house,independent,sector 25,13.5,37313.0,5.0,6.0,3+,4.0,Old Property,3618.0,0.0,0.0,0.0,0.0,1.0,1.0,79.0
flat,la vida by tata housing,sector 113,2.33,12534.0,3.0,3.0,3,3.0,New Property,2098.0,0.0,1.0,0.0,0.0,0.0,0.0,174.0
flat,ireo the grand arch,sector 58,4.0,18484.0,3.0,4.0,3,5.0,Old Property,2164.0,0.0,1.0,0.0,0.0,0.0,1.0,49.0
flat,emaar mgf emerald floors premier,sector 65,2.9,14684.0,4.0,4.0,3+,4.0,Relatively New,1975.0,1.0,1.0,0.0,0.0,0.0,1.0,152.0
house,independent,sector 56,3.25,21495.0,5.0,6.0,3+,4.0,Relatively New,1512.0,0.0,0.0,0.0,1.0,1.0,1.0,27.0
flat,gls arawali homes,sohna road,0.3,5291.0,2.0,2.0,2,10.0,Relatively New,567.95,0.0,0.0,0.0,0.0,0.0,0.0,42.0
flat,suncity avenue,sector 102,0.47,8935.0,2.0,2.0,1,5.0,Relatively New,629.8,0.0,0.0,1.0,0.0,0.0,0.0,142.0
flat,sidhartha ncr greens,sector 95,0.96,6202.0,3.0,3.0,3,8.0,New Property,1736.51451720214,0.0,0.0,1.0,1.0,0.0,0.0,8.0
flat,dlf regal gardens,sector 90,1.27,5498.0,3.0,3.0,3+,2.0,Relatively New,1500.0,0.0,0.0,0.0,0.0,1.0,0.0,72.0
flat,smart world gems,sector 89,1.01,9157.0,2.0,2.0,2,4.0,Under Construction,1288.843707734808,1.0,0.0,0.0,0.0,0.0,0.0,38.0
house,independent,sector 105,1.3,11556.0,3.0,3.0,1,1.0,Moderately Old,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,signature global solera,sector 107,0.5,7752.0,3.0,2.0,2,6.0,Relatively New,828.0948746201157,0.0,0.0,0.0,0.0,1.0,0.0,15.0
flat,shree vardhman flora,sector 90,1.27,4951.0,4.0,5.0,2,9.0,New Property,2214.61,1.0,1.0,0.0,0.0,0.0,0.0,83.0
flat,lotus elise,sector 99,0.95,6552.0,2.0,3.0,3,7.0,Relatively New,1637.9263389374241,0.0,1.0,0.0,0.0,0.0,0.0,0.0
flat,godrej summit,sector 104,1.16,6388.0,3.0,4.0,3+,8.0,Relatively New,2006.123004701567,0.0,1.0,0.0,0.0,0.0,1.0,96.0
flat,bestech park view residency,sector 2,1.4,7865.0,3.0,3.0,3+,8.0,Moderately Old,1575.0774763538197,0.0,0.0,0.0,0.0,0.0,0.0,92.0
flat,pareena coban residences,sector 99,1.02,8793.0,2.0,2.0,3,3.0,Relatively New,1430.0,1.0,0.0,0.0,0.0,0.0,0.0,174.0
flat,breez global hill view,sohna road,0.42,7179.0,2.0,2.0,1,18.0,Relatively New,768.185978420325,0.0,0.0,0.0,0.0,0.0,0.0,44.0
flat,experion the heartsong,sector 108,0.98,13351.0,2.0,3.0,3,12.0,Relatively New,978.223232,1.0,1.0,1.0,1.0,0.0,0.0,31.0
house,independent,sector 12,1.0,8230.0,3.0,7.0,3+,3.0,Moderately Old,3750.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0
flat,godrej air,sector 85,1.83,10005.0,3.0,3.0,3+,18.0,Under Construction,2019.2010283489271,0.0,0.0,0.0,0.0,0.0,0.0,110.0
flat,dlf ridgewood estate,sector 28,2.0,14599.0,3.0,3.0,1,12.0,Old Property,1207.2601258037837,0.0,0.0,0.0,0.0,0.0,1.0,96.0
house,independent,sector 46,2.25,2723.0,4.0,3.0,3,3.0,Relatively New,90.0,1.0,0.0,0.0,0.0,0.0,1.0,35.0
flat,umang winter hills,sector 77,1.0,7502.0,2.0,2.0,2,3.0,New Property,1527.2661388443757,0.0,0.0,0.0,0.0,0.0,0.0,74.0
house,independent,sector 11,1.35,3857.0,10.0,6.0,3+,3.0,Old Property,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,the lions cghs,sector 56,2.05,7885.0,4.0,4.0,3+,7.0,Old Property,2600.0,0.0,0.0,1.0,0.0,0.0,1.0,120.0
flat,hcbs sports ville,sohna road,0.25,4167.0,1.0,1.0,1,12.0,Relatively New,600.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
flat,ss the leaf,sector 85,1.85,6579.0,4.0,5.0,3+,1.0,Relatively New,2500.9006611529344,0.0,0.0,0.0,0.0,0.0,0.0,95.0
flat,nagata group housing society,sector 1,0.85,3696.0,3.0,3.0,3+,4.0,Relatively New,2041.577530709963,0.0,1.0,0.0,0.0,0.0,0.0,5.0
flat,tata primanti,sector 72,4.0,13769.0,4.0,5.0,3+,9.0,Relatively New,2800.0,0.0,1.0,0.0,0.0,0.0,1.0,165.0
flat,aipl zen residences,sector 70a,1.4,11094.0,2.0,2.0,2,16.0,Relatively New,1262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,m3m woodshire,sector 107,0.9,6589.0,2.0,2.0,3+,4.0,Relatively New,1203.671663847198,0.0,0.0,0.0,0.0,0.0,0.0,21.0
flat,sare green parc,sector 92,0.85,6538.0,3.0,2.0,2,20.0,Relatively New,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,ats tourmaline,sector 109,1.65,7674.0,3.0,3.0,3+,16.0,Relatively New,1907.0102073379985,0.0,1.0,0.0,0.0,0.0,1.0,49.0
flat,ansal housing highland park,sector 103,1.25,6443.0,3.0,3.0,3+,2.0,New Property,1480.09,0.0,0.0,0.0,1.0,0.0,0.0,105.0
flat,godrej oasis,sector 88a,0.95,7269.0,2.0,2.0,2,6.0,Relatively New,1494.0680788164614,0.0,0.0,0.0,0.0,0.0,0.0,79.0
flat,dlf beverly park,sector 25,8.0,15385.0,5.0,5.0,3+,2.0,Old Property,5410.433160291346,1.0,1.0,0.0,1.0,1.0,2.0,26.0
flat,sobha city,sector 108,3.75,14940.0,3.0,3.0,2,16.0,New Property,2080.1534967432594,0.0,1.0,0.0,0.0,0.0,0.0,77.0
flat,shree vardhman victoria,sector 70,1.07,7926.0,2.0,2.0,3,8.0,Relatively New,1189.3178160208552,1.0,0.0,0.0,0.0,0.0,0.0,108.0
flat,aipl the peaceful homes,sector 70a,2.52,10723.0,3.0,4.0,3,8.0,Relatively New,2086.4333051672843,0.0,1.0,0.0,0.0,0.0,0.0,174.0
flat,ss the leaf,sector 85,1.93,8075.0,3.0,4.0,3,7.0,Relatively New,2400.0,0.0,1.0,0.0,0.0,0.0,0.0,174.0
flat,ambience creacions,sector 22,2.79,15000.0,3.0,3.0,3,13.0,New Property,1860.0,0.0,0.0,0.0,0.0,0.0,2.0,158.0
flat,sbr apartment,manesar,0.68,4456.0,3.0,3.0,3,2.0,Moderately Old,1526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
house,independent,sector 2,5.0,15385.0,6.0,6.0,2,1.0,Moderately Old,3448.7296131873063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,vatika gurgaon,sector 83,0.95,6574.0,2.0,2.0,3,5.0,Relatively New,1300.0,0.0,0.0,0.0,0.0,0.0,1.0,96.0
flat,mrg skyline,sector 106,1.82,13392.0,3.0,2.0,2,4.0,Relatively New,1359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,m3m skywalk,sector 74,1.54,10815.0,2.0,2.0,3+,15.0,Relatively New,1200.0,0.0,0.0,0.0,0.0,1.0,0.0,137.0
